fullName,CarID,location,price
Sten Sanjorge Jr.,31,Hallowed Grounds,9.72
Lucas Alcazar,1,Hippokampos,246.15
Lars Azada,2,Hippokampos,495.34
Felix Balas,3,Hippokampos,342.15
Ingrid Barranco,4,Hippokampos,378.8
Isak Baza,5,Hippokampos,49.17
Linnea Bergen,6,Hippokampos,104.86
Isande Borrasca,7,Hippokampos,246.21
Nils Calixto,8,Hippokampos,107.35
Axel Calzas,9,Hippokampos,337.32
Ada Campo-Corrente,10,Hippokampos,445.49
Gustav Cazar,11,Hippokampos,343.67
Lidelse Dedos,14,Hippokampos,12.57
Loreto Bodrogi,15,Hippokampos,70.76
Isia Vann,16,Hippokampos,78.08
Sven Flecha,17,Hippokampos,91.97
Birgitta Frente,18,Hippokampos,163.37
Vira Frente,19,Hippokampos,509.47
Stenig Fusil,20,Hippokampos,15.77
Hennie Osvaldo,21,Hippokampos,8.75
Kanon Herrero,22,Hippokampos,101.52
Minke Mies,24,Hippokampos,304.48
Adra Nubarron,25,Hippokampos,93.57
Marin Onda,26,Hippokampos,21.91
Kare Orilla,27,Hippokampos,76.11
Felix Resumir,30,Hippokampos,57.07
Orhan Strum,32,Hippokampos,336.1
Brand Tempestad,33,Hippokampos,179.45
Edvard Vann,34,Hippokampos,179.33
Willem Vasco-Pais,35,Hippokampos,459.06
Isak Baza,5,Jack's Magical Beans,110.62
Loreto Bodrogi,15,Jack's Magical Beans,6
Elsa Orilla,28,Jack's Magical Beans,192.41
Orhan Strum,32,Jack's Magical Beans,282.79
Willem Vasco-Pais,35,Jack's Magical Beans,208.85
Felix Balas,3,Kalami Kafenion,179.9
Linnea Bergen,6,Kalami Kafenion,140.78
Isande Borrasca,7,Kalami Kafenion,54.36
Axel Calzas,9,Kalami Kafenion,22.83
Ada Campo-Corrente,10,Kalami Kafenion,15.15
Gustav Cazar,11,Kalami Kafenion,61.54
Hideki Cocinaro,12,Kalami Kafenion,136.01
Inga Ferro,13,Kalami Kafenion,23.86
Lidelse Dedos,14,Kalami Kafenion,46.19
Isia Vann,16,Kalami Kafenion,31.96
Sven Flecha,17,Kalami Kafenion,27
Vira Frente,19,Kalami Kafenion,158.62
Stenig Fusil,20,Kalami Kafenion,14.77
Hennie Osvaldo,21,Kalami Kafenion,27.7
Kanon Herrero,22,Kalami Kafenion,95.25
Varja Lagos,23,Kalami Kafenion,105.79
Minke Mies,24,Kalami Kafenion,46.61
Kare Orilla,27,Kalami Kafenion,73.34
Elsa Orilla,28,Kalami Kafenion,101.5
Bertrand Ovan,29,Kalami Kafenion,24.08
Felix Resumir,30,Kalami Kafenion,82.18
Orhan Strum,32,Kalami Kafenion,22.39
Edvard Vann,34,Kalami Kafenion,18.06
Willem Vasco-Pais,35,Kalami Kafenion,144.23
Valeria Morlun,208,Katerinas Café,198.81
Ingrid Barranco,4,Katerinas Café,158.94
Isak Baza,5,Katerinas Café,53.24
Linnea Bergen,6,Katerinas Café,127.05
Isande Borrasca,7,Katerinas Café,57.36
Nils Calixto,8,Katerinas Café,451.66
Axel Calzas,9,Katerinas Café,35.06
Ada Campo-Corrente,10,Katerinas Café,13.68
Gustav Cazar,11,Katerinas Café,36.56
Hideki Cocinaro,12,Katerinas Café,100.56
Inga Ferro,13,Katerinas Café,94.89
Lidelse Dedos,14,Katerinas Café,359.16
Loreto Bodrogi,15,Katerinas Café,59.55
Isia Vann,16,Katerinas Café,100.63
Birgitta Frente,18,Katerinas Café,198.9
Vira Frente,19,Katerinas Café,121.79
Hennie Osvaldo,21,Katerinas Café,309.28
Kanon Herrero,22,Katerinas Café,55.6
Varja Lagos,23,Katerinas Café,176.38
Minke Mies,24,Katerinas Café,106.59
Adra Nubarron,25,Katerinas Café,353.05
Marin Onda,26,Katerinas Café,403.91
Kare Orilla,27,Katerinas Café,281.65
Bertrand Ovan,29,Katerinas Café,706.48
Felix Resumir,30,Katerinas Café,19.65
Orhan Strum,32,Katerinas Café,100.19
Brand Tempestad,33,Katerinas Café,11.08
Edvard Vann,34,Katerinas Café,99.32
Lucas Alcazar,1,Kronos Mart,194.51
Lars Azada,2,Kronos Mart,286.24
Ingrid Barranco,4,Kronos Mart,203.91
Isak Baza,5,Kronos Mart,58.85
Ada Campo-Corrente,10,Kronos Mart,150.36
Hideki Cocinaro,12,Kronos Mart,298.83
Stenig Fusil,20,Kronos Mart,159.06
Varja Lagos,23,Kronos Mart,87.66
Orhan Strum,32,Kronos Mart,277.26
Albina Hafon,201,Kronos Pipe and Irrigation,3134.95
Irene Nant,207,Kronos Pipe and Irrigation,10523.57
Albina Hafon,201,Maximum Iron and Steel,3549.36
Irene Nant,207,Maximum Iron and Steel,12658.68
Adan Morlun,200,Nationwide Refinery,6416.93
Benito Hawelon,202,Nationwide Refinery,5899.72
Cecilia Morluniau,203,Nationwide Refinery,12066.4
Claudio Hawelon,204,Nationwide Refinery,2302.73
Dylan Scozzese,205,Nationwide Refinery,6641.84
Valeria Morlun,208,Nationwide Refinery,10170.56
Linnea Bergen,6,Octavio's Office Supplies,64.51
Stenig Fusil,20,Octavio's Office Supplies,131.73
Edvard Vann,34,Octavio's Office Supplies,139.72
Albina Hafon,201,Ouzeri Elian,19.82
Lucas Alcazar,1,Ouzeri Elian,230.32
Lars Azada,2,Ouzeri Elian,14.01
Ingrid Barranco,4,Ouzeri Elian,26.09
Isak Baza,5,Ouzeri Elian,504.48
Linnea Bergen,6,Ouzeri Elian,8.93
Isande Borrasca,7,Ouzeri Elian,38.9
Axel Calzas,9,Ouzeri Elian,45
Ada Campo-Corrente,10,Ouzeri Elian,69.58
Gustav Cazar,11,Ouzeri Elian,52.67
Hideki Cocinaro,12,Ouzeri Elian,118.05
Inga Ferro,13,Ouzeri Elian,24.72
Loreto Bodrogi,15,Ouzeri Elian,47.71
Sven Flecha,17,Ouzeri Elian,45.32
Birgitta Frente,18,Ouzeri Elian,30.93
Vira Frente,19,Ouzeri Elian,118.81
Stenig Fusil,20,Ouzeri Elian,42.96
Hennie Osvaldo,21,Ouzeri Elian,20.46
Kanon Herrero,22,Ouzeri Elian,62.2
Varja Lagos,23,Ouzeri Elian,143.87
Adra Nubarron,25,Ouzeri Elian,47.37
Marin Onda,26,Ouzeri Elian,80.64
Elsa Orilla,28,Ouzeri Elian,195.6
Bertrand Ovan,29,Ouzeri Elian,56.62
Felix Resumir,30,Ouzeri Elian,59.51
Orhan Strum,32,Ouzeri Elian,226.95
Edvard Vann,34,Ouzeri Elian,95.03
Ingrid Barranco,4,Roberts and Sons,125.35
Linnea Bergen,6,Roberts and Sons,62.47
Isia Vann,16,Roberts and Sons,481.86
Birgitta Frente,18,Roberts and Sons,266.69
Hennie Osvaldo,21,Roberts and Sons,223.81
Minke Mies,24,Roberts and Sons,155.76
Marin Onda,26,Roberts and Sons,256.24
Lucas Alcazar,1,Shoppers' Delight,149.2
Axel Calzas,9,Shoppers' Delight,160.69
Ada Campo-Corrente,10,Shoppers' Delight,162
Inga Ferro,13,Shoppers' Delight,483.9
Loreto Bodrogi,15,Shoppers' Delight,216.43
Isia Vann,16,Shoppers' Delight,293.67
Sven Flecha,17,Shoppers' Delight,366.04
Birgitta Frente,18,Shoppers' Delight,157.45
Kanon Herrero,22,Shoppers' Delight,392.39
Adra Nubarron,25,Shoppers' Delight,30.39
Marin Onda,26,Shoppers' Delight,135.78
Bertrand Ovan,29,Shoppers' Delight,51.5
Felix Resumir,30,Shoppers' Delight,144.4
Orhan Strum,32,Shoppers' Delight,258.33
Adan Morlun,200,Stewart and Sons Fabrication,6283.64
Benito Hawelon,202,Stewart and Sons Fabrication,3757.04
Cecilia Morluniau,203,Stewart and Sons Fabrication,24595.5
Claudio Hawelon,204,Stewart and Sons Fabrication,4195.49
Dylan Scozzese,205,Stewart and Sons Fabrication,1880.8
Lucas Alcazar,1,U-Pump,55.25
Varja Lagos,23,U-Pump,59.51
